url,ep_title,ep_num
https://fangj.github.io/friends/season/0214.html,the one with the prom video,214
https://fangj.github.io/friends/season/0205.html,the one with five steaks and an eggplant,205
https://fangj.github.io/friends/season/0207.html,the one where ross finds out,207
https://fangj.github.io/friends/season/0208.html,the one with the last,208
https://fangj.github.io/friends/season/0211.html,the one with the lesbian wedding,211
https://fangj.github.io/friends/season/0209.html,the one with phoebe's dad,209
https://fangj.github.io/friends/season/0206.html,the one with the baby on the bus,206
https://fangj.github.io/friends/season/0204.html,the one with phoebe's husband,204
https://fangj.github.io/friends/season/0203.html,the one where mr heckles dies,203
https://fangj.github.io/friends/season/0202.html,the one with the breast milk,202
https://fangj.github.io/friends/season/0210.html,the one with russ,210
https://fangj.github.io/friends/season/0212-0213.html,the one after the superbowl,212
https://fangj.github.io/friends/season/0201.html,the one with ross' new girlfriend,201
https://fangj.github.io/friends/season/0124.html,the one where rachel finds out,124
https://fangj.github.io/friends/season/0123.html,the one with the birth,123
https://fangj.github.io/friends/season/1017-1018.html,the last one,1017
https://fangj.github.io/friends/season/1016.html,the one with rachel's going away party,1016
https://fangj.github.io/friends/season/1015.html,the one where estelle dies,1015
https://fangj.github.io/friends/season/1014.html,the one with princess consuela,1014
https://fangj.github.io/friends/season/0122.html,the one with the ick factor,122
https://fangj.github.io/friends/season/1012.html,the one with phoebe's wedding,1012
https://fangj.github.io/friends/season/1011.html,the one where the stripper cries,1011
https://fangj.github.io/friends/season/1013.html,the one where joey speaks french,1013
https://fangj.github.io/friends/season/1010.html,the one where chandler gets caught,1010
https://fangj.github.io/friends/season/1009.html,the one with the birth mother,1009
https://fangj.github.io/friends/season/1008.html,the one with the late thanksgiving,1008
https://fangj.github.io/friends/season/1007.html,the one with the home study,1007
https://fangj.github.io/friends/season/1006.html,the one with ross' grant,1006
https://fangj.github.io/friends/season/1005.html,the one where rachel's sister babysits,1005
https://fangj.github.io/friends/season/1004.html,the one with the cake,1004
https://fangj.github.io/friends/season/1003.html,the one with ross' tan,1003
https://fangj.github.io/friends/season/1002.html,the one where ross is fine,1002
https://fangj.github.io/friends/season/1001.html,the one after joey and rachel kiss,1001
https://fangj.github.io/friends/season/0923-0924.html,the one in barbados,923
https://fangj.github.io/friends/season/0922.html,the one with the donor,922
https://fangj.github.io/friends/season/0921.html,the one with the fertility test,921
https://fangj.github.io/friends/season/0920.html,the one with the soap opera party,920
https://fangj.github.io/friends/season/0919.html,the one with rachel's dream,919
https://fangj.github.io/friends/season/0917.html,the one with the memorial service,917
https://fangj.github.io/friends/season/0916.html,the one with the boob job,916
https://fangj.github.io/friends/season/0918.html,the one with the lottery,918
https://fangj.github.io/friends/season/0915.html,the one with the mugging,915
https://fangj.github.io/friends/season/0914.html,the one with the blind dates,914
https://fangj.github.io/friends/season/0913.html,the one where monica sings,913
https://fangj.github.io/friends/season/0912.html,the one with phoebe's rats,912
https://fangj.github.io/friends/season/0911.html,the one where rachel goes back to work,911
https://fangj.github.io/friends/season/0910.html,the one with christmas in tulsa,910
https://fangj.github.io/friends/season/0909.html,the one with rachel's phone number,909
https://fangj.github.io/friends/season/0908.html,the one with rachel's other sister,908
https://fangj.github.io/friends/season/0907.html,the one with ross's inappropriate song,907
https://fangj.github.io/friends/season/0906.html,the one with the male nanny,906
https://fangj.github.io/friends/season/0905.html,the one with phoebes birthday dinner,905
https://fangj.github.io/friends/season/0904.html,the one with the sharks,904
https://fangj.github.io/friends/season/0903.html,the one with the pediatrician,903
https://fangj.github.io/friends/season/0902.html,the one where emma cries,902
https://fangj.github.io/friends/season/0901.html,the one where no one proposes,901
